date,ticker,has_news,news_count,sent_compound,sent_compound_std,sent_compound_min,sent_compound_max,sent_positive,sent_negative,positive_ratio,negative_ratio,sent_compound_roll5,sent_compound_std_roll5,sent_compound_min_roll5,sent_compound_max_roll5,sent_positive_roll5,sent_negative_roll5,positive_ratio_roll5,negative_ratio_roll5,emb_pca_0,emb_pca_1,emb_pca_2,emb_pca_3,emb_pca_4,emb_pca_5,emb_pca_6,emb_pca_7,emb_pca_8,emb_pca_9,emb_pca_10,emb_pca_11,emb_pca_12,emb_pca_13,emb_pca_14
2023-11-13,AAPL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-14,AAPL,1,2.0,-0.005384892,1.3134158,-0.9341101,0.9233403,0.4806011,0.485986,0.5,0.5,-0.0026924461126327515,0.6567078828811646,-0.4670550525188446,0.4616701602935791,0.24030055105686188,0.24299299716949463,0.25,0.25,0.07274474,0.02169495,-0.11635424,0.08957181,-0.13898402,0.07395683,0.15849575,-0.080134384,-0.08313749,-0.06433725,0.06157455,-0.032155108,0.060989834,-0.077025175,0.020816786
2023-11-15,AAPL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001794964075088501,0.4378052552541097,-0.31137003501256305,0.30778010686238605,0.16020036737124124,0.16199533144632974,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-16,AAPL,1,6.0,0.12045894,0.6049549,-0.9318725,0.81828153,0.3077246,0.18726568,0.3333333333333333,0.16666666666666666,0.0287685114890337,0.4795926660299301,-0.46649564802646637,0.4354054629802704,0.19708142429590225,0.168312918394804,0.20833333333333331,0.16666666666666666,0.007939477,0.019067494,0.03330901,-0.0273014,0.043445025,0.18092947,-0.008434847,-0.043167163,-0.02721253,0.0033114764,0.041432794,-0.017018555,0.012441632,0.0024912953,-0.047344554
2023-11-17,AAPL,1,1.0,-0.8877644,0.0,-0.8877644,-0.8877644,0.008781432,0.8965458,0.0,1.0,-0.154538069665432,0.3836741328239441,-0.550749397277832,0.17077149152755738,0.15942142587155103,0.31395950019359586,0.16666666666666666,0.3333333333333333,0.10940847,0.06170178,0.021520913,-0.06283442,-0.09978324,-0.025191812,-0.2590897,-0.015429698,-0.021845616,-0.044557065,-0.030231874,0.01194559,-0.044920914,-0.100639656,-0.075419284
2023-11-20,AAPL,1,3.0,-0.058460295,0.3480431,-0.46034586,0.14248249,0.121687494,0.18014778,0.0,0.3333333333333333,-0.16623012870550155,0.45328275561332704,-0.6428185701370239,0.19926798939704896,0.18375892471522093,0.34998905658721924,0.16666666666666666,0.4,-0.013088077,0.093145244,-0.027504047,-0.13554263,0.08849429,-0.08388051,-0.1439164,-0.15867165,-0.024758046,0.08574009,-0.0053687133,0.06861668,0.057111114,-0.027986823,0.029085293
2023-11-21,AAPL,1,1.0,0.15386859,0.0,0.15386859,0.15386859,0.1621324,0.008263808,0.0,0.0,-0.13437943309545516,0.19059960246086122,-0.4252228319644928,0.0453736424446106,0.12006518375128508,0.25444461926817896,0.06666666666666667,0.3,0.022572003,0.033221804,0.18377015,0.03749224,-0.054487444,0.26140523,0.18479419,-0.17259015,-0.117548525,0.11233512,-0.011893291,-0.13957572,-0.09866743,0.07054487,-0.08953219
2023-11-22,AAPL,1,2.0,0.05557096,1.2426846,-0.8231397,0.93428165,0.4851775,0.42960653,0.5,0.5,-0.123265241086483,0.43913652300834655,-0.589850777387619,0.23222997188568115,0.21710068117827178,0.3403659246861935,0.16666666666666666,0.4,0.060979202,0.15288185,-0.014663891,-0.029922595,-0.055509046,0.10831504,0.08350451,-0.05783429,0.093046546,0.095742844,0.008510657,-0.010973349,0.04257381,-0.007309474,0.0384551
2023-11-24,AAPL,1,1.0,-0.9113141,0.0,-0.9113141,-0.9113141,0.026139539,0.9374536,0.0,1.0,-0.32961984276771544,0.3181455433368683,-0.5857390940189362,-0.1136891484260559,0.16078366991132498,0.49040351435542107,0.1,0.5666666666666667,-0.056209642,0.21466635,-0.027472336,-0.084422186,-0.079486825,-0.21924935,-0.07683327,0.081051186,0.0035061613,0.17509308,-0.10872656,-0.027611122,-0.07410734,0.15858838,-0.07404583
2023-11-27,AAPL,1,3.0,0.036236644,0.78602636,-0.6042422,0.9134119,0.46325222,0.42701557,0.3333333333333333,0.6666666666666666,-0.14481963515281676,0.4753508150577545,-0.5290346562862396,0.24654611349105834,0.25167782679200174,0.39649746343493464,0.16666666666666666,0.5,-0.050018538,0.061873764,0.10776607,-0.10177404,-0.10255665,0.07685801,0.028565237,-0.056946043,-0.09166795,-0.07209089,0.07123483,-0.05158338,0.016803466,0.041890085,-0.03756872
