date,ticker,sma_5,obv,month,volume_sma_20,macd_signal,macd,atr_14,close_to_sma20,volume_ratio,market_return,market_volatility,rsi_14,log_return_1d,return_20d,volatility_5d,sma5_to_sma20,bb_pctb,return_lag_2,volume_change,price_range_pct,return_lag_1,close_to_sma5,relative_return,macd_hist,volatility_10d,volatility_20d,is_month_start,is_month_end,return_5d,return_10d,return_lag_4,price_range,stoch_k,bb_width,return_lag_3,return_lag_5,stoch_d,day_of_week,open,high,low,close,volume,target_next_close,target_next_return,target_direction,is_outlier
2024-01-02,AAPL,191.58999938964843,95230300,1,54979210.0,1.3854015795772108,0.24310469319109984,2.9239392731196374,-0.04323334814568476,1.5003616821704058,-0.017556764236457023,0.011708913839883015,32.08351462947776,-0.0364426683157658,-0.029282607941128913,0.01566954450956888,-0.012567750229018309,-0.23937229803431162,0.002226290179438095,0.9350462598055775,0.024509820441270307,-0.005424129774904141,-0.03105590072005327,-0.01822986347524136,-1.142296886386111,0.011511298651532685,0.01207504418276797,0,0,-0.04111573586217265,-0.06038369940935817,-0.0028409247645565516,4.5500030517578125,11.125241419717698,5.847304295904045,0.0005179530854488856,-0.005547496470601709,19.066008558359147,1,187.1499938964844,188.44000244140625,183.88999938964844,185.63999938964844,82488700,184.25,-0.007487607165581278,0,False
2024-01-03,AAPL,189.8299987792969,36815800,1,55730460.0,1.0191263193744802,-0.4459747214364427,2.8900873398276095,-0.049127966072561875,1.0481610953866163,-0.010050046278625348,0.014530639220508023,29.866624521375243,-0.007515780015705521,-0.027345155867936177,0.015403218468252591,-0.020330870883510845,-0.19571853837695113,-0.005424129774904141,-0.29184845924350855,0.013297216863127544,-0.03578662771169838,-0.029394715351520342,0.0025624391130440703,-1.4651010408109228,0.011492674241823328,0.01201361614940459,0,0,-0.045584060671568505,-0.059421100749993405,0.0005179530854488856,2.45001220703125,5.064899324051769,7.061471466201405,0.002226290179438095,-0.0028409247645565516,11.023922051286796,2,184.22000122070312,185.8800048828125,183.42999267578125,184.25,58414500,181.91000366210935,-0.012700115809447188,0,False
2024-01-04,AAPL,187.58200073242188,-35167800,1,55998220.0,0.5818138960568728,-1.1674357972135567,2.9243664667818874,-0.05840760067355914,1.2854622879084372,-0.00711811306889752,0.013070858778192349,26.541737932114458,-0.012781451663886334,-0.059507779008365014,0.014423486548289814,-0.02904852628022191,-0.15771021300950958,-0.03578662771169838,0.23228992801444837,0.012148817605342505,-0.007487607165581278,-0.030237427088771713,-0.0055820027405496676,-1.7492496932704296,0.010904997379192627,0.011035742075543241,0,0,-0.05819306543907499,-0.07631765305663907,0.002226290179438095,2.2099914550781534,5.496261024765674,8.88044605637204,-0.005424129774904141,0.0005179530854488856,7.228800589511714,3,182.1499938964844,183.08999633789065,180.8800048828125,181.91000366210935,71983600,181.17999267578125,-0.004013033761925855,0,False
2024-01-05,AAPL,185.10199890136718,-97471100,1,57058900.0,0.10992842448709529,-1.777613461792015,2.900482886146795,-0.05947459885746612,1.0919120417673667,0.004318283250714864,0.010424561706092279,25.584825801189268,-0.0040211075895139154,-0.057924366806295535,0.013113278678507293,-0.039115030319434016,-0.06983882862318068,-0.007487607165581278,-0.13447924249412369,0.014295156433333974,-0.012700115809447188,-0.02118835155138329,-0.00833131701264072,-1.8875418862791102,0.010915515522987187,0.011020662805546639,0,0,-0.064056250841941,-0.0700611252219252,-0.005424129774904141,2.5899963378905966,5.540289322779117,10.437091308987492,-0.03578662771169838,0.002226290179438095,5.367149890532186,4,181.9900054931641,182.7599945068359,180.1699981689453,181.17999267578125,62303300,185.55999755859375,0.024174881663950876,1,False
2024-01-08,AAPL,183.70799865722657,-38326600,1,57642240.0,-0.2892598770953093,-1.8860130834249276,3.009020781974477,-0.034554897433455654,1.0260617907978593,0.026906565197495506,0.017102653832189278,39.644872342478806,0.023887294910533066,-0.04483454224694183,0.021459626033057188,-0.044190612527270384,0.1830683090270672,-0.012700115809447188,-0.050700364186166746,0.022095312338107513,-0.004013033761925855,0.01008120993589807,-0.0027316835335446307,-1.5967532063296184,0.014728202829370488,0.012271924501693066,0,0,-0.036202156884097114,-0.04684608311227889,-0.03578662771169838,4.100006103515597,30.782416222598876,10.902947990899015,-0.007487607165581278,-0.005424129774904141,13.939655523381221,0,182.08999633789065,185.6000061035156,181.5,185.55999755859375,59144500,185.13999938964844,-0.002263409002323802,0,False
2024-01-09,AAPL,183.60799865722657,-81168400,1,57115465.0,-0.6279984342277982,-1.9829526627577536,2.996233714051637,-0.03408409601040896,0.7500910655283993,0.0031154056406738706,0.01431649868789251,38.88615888450182,-0.0022659743842163706,-0.05400851750862368,0.014334934618582245,-0.04207687918664526,0.19694598093513943,-0.004013033761925855,-0.2756418601898739,0.013071179523189933,0.024174881663950876,0.00834386706257781,-0.0053788146429976725,-1.3549542285299554,0.014743516631202866,0.01206116152727042,0,0,-0.002693385055181574,-0.043698380408850324,-0.007487607165581278,2.4199981689453693,28.38379657265356,11.246871470499844,-0.012700115809447188,-0.03578662771169838,21.56883403934385,1,183.9199981689453,185.1499938964844,182.72999572753903,185.13999938964844,42841800,186.19000244140625,0.005671400319862574,1,False
2024-01-10,AAPL,183.99599914550782,-34375500,1,56407925.0,-0.8929075068376561,-1.9525437972770874,2.959359572157884,-0.026831509775118403,0.8295447847088863,0.014883430022764725,0.013082879414498481,41.88075708899579,0.0056553784780440505,-0.036183820785760545,0.013923719954731979,-0.03829901526424803,0.2668981530612206,0.024174881663950876,0.09222535000863652,0.013319704038993943,-0.002263409002323802,0.0119241902328722,-0.009212029702902151,-1.0596362904394314,0.015082776785275937,0.011947800516808812,0,0,0.010529185570725907,-0.0355348381347208,-0.012700115809447188,2.479995727539091,34.38038926917262,11.510638001150323,-0.004013033761925855,-0.007487607165581278,31.182200688141688,2,184.3500061035156,186.3999938964844,183.9199981689453,186.19000244140625,46792900,185.58999633789065,-0.0032225473744457167,0,False
2024-01-11,AAPL,184.73199768066405,-83503900,1,56229500.0,-1.1051923476618049,-1.9543317109583995,2.9929773123302,-0.027650092125935475,0.8737121973341395,-0.0017909995393402545,0.012959626306677737,40.65484020132334,-0.003227750962449193,-0.04683894027788049,0.011889065352612756,-0.03214535012352416,0.26369667456462514,-0.002263409002323802,0.04991141818523759,0.018481642342001767,0.005671400319862574,0.004644558971910091,-0.0014315478351054622,-0.8491393632965947,0.015018071190140484,0.011729829398752693,0,0,0.020229743288976865,-0.0391405529251293,-0.004013033761925855,3.4300079345703125,32.052022443318876,11.701101571461942,0.024174881663950876,-0.012700115809447188,31.605402761715016,3,186.5399932861328,187.0500030517578,183.6199951171875,185.58999633789065,49128400,185.9199981689453,0.0017781229460980263,1,False
2024-01-12,AAPL,185.67999877929688,-43059200,1,54731525.0,-1.265581073967274,-1.9071359791891496,2.8899077222893177,-0.02283914693821196,0.7389653403591441,-0.0019285830515604538,0.016452390900195943,41.66621476527902,0.0017765439569730806,-0.06082040885321138,0.011164850420011274,-0.024100538991960067,0.3000520671035948,0.005671400319862574,-0.17675519658690286,0.00833693560145883,-0.0032225473744457167,0.0012925430376251785,0.0037067059976584804,-0.6415549052218756,0.014998471843814148,0.010901785923050496,0,0,0.026161859392754394,-0.0395702220769405,0.024174881663950876,1.550003051757841,37.72964519323294,11.422547163838459,-0.002263409002323802,-0.004013033761925855,34.72068563524148,4,186.05999755859375,186.7400054931641,185.19000244140625,185.9199981689453,40444700,183.6300048828125,-0.012317089655153213,0,False
2024-01-16,AAPL,185.29400024414062,-108662200,1,54670095.0,-1.4186854691759931,-2.03110305001087,3.039914705923228,-0.031188395184615778,1.1999796232291164,-0.00025695649826515003,0.016182449598604244,36.95913974305634,-0.012393573693348117,-0.0730906853915908,0.006728780452874584,-0.022409339618819513,0.22131042837820378,-0.0032225473744457167,0.6220419486360389,0.018134301271623732,0.0017781229460980263,-0.00898029811615953,-0.012060133156888062,-0.6124175808348769,0.015231488253709699,0.011050822326899136,0,0,-0.010400909146228154,-0.04622653068567628,-0.002263409002323802,3.330001831054659,23.878574204126554,11.1910879919615,0.005671400319862574,0.024174881663950876,31.220080613559457,1,182.16000366210935,184.2599945068359,180.92999267578125,183.6300048828125,65603000,182.67999267578125,-0.005173512943255187,0,False
